iter	RMSE
326	0.5650611746
327	0.5635645666
328	0.5598958508
329	0.554499161
330	0.5455944737
331	0.5416227919
332	0.5405342739
333	0.5361674629
334	0.5288432373
335	0.5277974603
336	0.5241777726
337	0.5203535058
338	0.5161391644
339	0.5151820233
340	0.512436723
341	0.5089460066
342	0.505442625
343	0.50219588
344	0.4990037024
345	0.495437065
346	0.4950862786
347	0.4914759268
348	0.4885526778
349	0.4863556012
350	0.4818806448
351	0.4781071015
352	0.4765210888
353	0.4721956801
354	0.4695848311
355	0.4676856243
356	0.4666667302
357	0.4629530268
358	0.4606234858
359	0.4560676394
360	0.4530607591
361	0.4507731614
362	0.4484993625
363	0.4475881178
364	0.4436740282
365	0.4416065048
366	0.4397546301
367	0.4360372161
368	0.4321117102
369	0.4290527835
370	0.4264416202
371	0.4245959399
372	0.4221980635
373	0.4209807438
374	0.4196548352
375	0.4174025512
376	0.4163598251
377	0.4129116479
378	0.410714196
379	0.4100529858
380	0.4099002587
381	0.4091349959
382	0.409064614
383	0.4070159422
384	0.4058558413
385	0.4049441285
386	0.403938758
387	0.4020245545
388	0.3993011427
389	0.3971293496
390	0.3944817128
391	0.3907305787
392	0.3894510394
393	0.3874881908
394	0.3860063876
395	0.3836792498
396	0.3802501007
397	0.3779838972
398	0.3753098931
399	0.3741274758
400	0.3732762358
401	0.372529352
402	0.3720780899
403	0.3695436176
404	0.3676721747
405	0.3674890452
406	0.3647268736
407	0.3643957782
408	0.3609909969
409	0.359564372
410	0.3578426515
411	0.3537552984
412	0.3514771359
413	0.3500757155
414	0.348088002
415	0.3470067079
416	0.3469400431
417	0.3453335265
418	0.3425163808
419	0.3424112331
420	0.3398134317
421	0.3390973538
422	0.3390326997
423	0.3373458221
424	0.3344997144
425	0.333806606
426	0.3321791084
427	0.3285210165
428	0.3276703575
429	0.3261536793
430	0.3237457784
431	0.3227415083
432	0.3218845775
433	0.3186149004
434	0.3176345562
435	0.3175379642
436	0.3162672892
437	0.3150159792
438	0.3129259524
439	0.312734597
440	0.3113105838
441	0.3103425682
442	0.3095914338
443	0.3089004164
444	0.3072812853
445	0.3058910931
446	0.3045579745
447	0.3011387649
448	0.3000420069
449	0.2988335574
450	0.2987773409
451	0.2979350018
452	0.2971026967
453	0.2936274571
454	0.2918458837
455	0.2908713159
456	0.2908219214
457	0.2900307197
458	0.2896973752
459	0.2878646065
460	0.2856845511
461	0.2856391352
462	0.2840224928
463	0.2830765658
464	0.2808000154
465	0.2807554586
466	0.2778650688
467	0.277698667
468	0.2776589619
469	0.2764710764
470	0.2757544724
471	0.2730423288
472	0.2724088512
473	0.2715381408
474	0.2713460582
475	0.2704163716
476	0.2685156035
477	0.2675770695
478	0.2666351938
479	0.2660080218
480	0.2644625619
481	0.2633783561
482	0.2609712417
483	0.2593673104
484	0.2585191687
485	0.2582701362
486	0.2567020356
487	0.2566686812
488	0.2566369792
489	0.2559093182
490	0.2555643295
491	0.2536122149
492	0.2528732502
493	0.2521189399
494	0.2514407073
495	0.2492954428
496	0.2483429156
497	0.2476592049
498	0.2468316774
499	0.2464288666
500	0.2445020845
501	0.2421848761
502	0.2413428691
503	0.2409139922
504	0.2391427354
505	0.23879802
506	0.238419973
507	0.236862778
508	0.2354773638
509	0.2347285495
510	0.2343461395
511	0.2337759911
512	0.2323285753
513	0.2301584645
514	0.2294031294
515	0.2292124926
516	0.2266735579
517	0.2259805359
518	0.2256813297
519	0.2253411363
520	0.2246558009
521	0.2243365819
522	0.2228271354
523	0.2224370353
524	0.2219443519
525	0.2211847632
526	0.2196644445
527	0.2189553634
528	0.2176757269
529	0.2172978303
530	0.2169648358
531	0.2166747202
532	0.2166125156
533	0.2155653579
534	0.214686161
535	0.2140458345
536	0.2138491159
537	0.2130473822
538	0.212980804
539	0.2118704834
540	0.2099342469
541	0.2094977704
542	0.2083152442
543	0.2078293281
544	0.2071256088
545	0.2068574697
546	0.2066321687
547	0.2060470052
548	0.2047680532
549	0.2045177934
550	0.203879307
551	0.202751298
552	0.2017783745
553	0.2012257757
554	0.1996583063
555	0.1995284766
556	0.1992870512
557	0.1984903319
558	0.1976740082
559	0.1973420663
560	0.1972916017
561	0.1951616512
562	0.1937487726
563	0.1932591703
564	0.1916553311
565	0.191529103
566	0.1911911494
567	0.1907780306
568	0.1897314089
569	0.1892490585
570	0.1875071799
571	0.186414835
572	0.1861315261
573	0.1857137279
574	0.1854016895
575	0.1849998575
576	0.1846342562
577	0.1830894807
578	0.18268048
579	0.1812464574
580	0.1812065827
581	0.1809875297
582	0.1807656279
583	0.1804930049
584	0.1798445848
585	0.1794435751
586	0.1779559625
587	0.1771053286
588	0.1769083591
589	0.176483599
590	0.1762906719
591	0.1753321524
592	0.1750769047
593	0.1739197714
594	0.1733086162
595	0.1727344898
596	0.1718629165
597	0.171274007
598	0.1707944587
599	0.1704666087
600	0.1703763857
601	0.1701830796
602	0.1689529699
603	0.1680917515
604	0.1675558418
605	0.1670793586
606	0.1661666728
607	0.165399993
608	0.165092799
609	0.1645697202
610	0.1643763073
611	0.1641468582
612	0.163437499
613	0.1634072711
614	0.1628300023
615	0.1621618372
616	0.1621209318
617	0.1615826965
618	0.1610995587
619	0.1609927573
620	0.1606563845
621	0.1605496463
622	0.1605145502
623	0.1601540385
624	0.1591478488
625	0.1576988536
626	0.1574907328
627	0.1567250873
628	0.1554807562
629	0.1546304826
630	0.1535804396
631	0.1534071879
632	0.1532030275
633	0.1531416427
634	0.1526247113
635	0.1525049399
636	0.1518447043
637	0.1507485688
638	0.1504804952
639	0.1503229298
640	0.1501787948
641	0.1490127481
642	0.148879135
643	0.1482349038
644	0.1481470171
645	0.148051425
646	0.1480246505
647	0.147052451
648	0.1465720596
649	0.1460441911
650	0.1451954121
651	0.1448628004
652	0.1441112508
653	0.143294895
654	0.1429050217
655	0.142387487
656	0.1417134759
657	0.1412639397
658	0.1409451063
659	0.1406885535
660	0.1405502231
661	0.1401891707
662	0.1399525441
663	0.1394706942
664	0.1383508711
665	0.1383289192
666	0.1382186274
667	0.1374913363
668	0.1370050043
669	0.1365700021
670	0.1361148415
671	0.1355344443
672	0.1352579979
673	0.1350192551
674	0.1349823757
675	0.1348370301
676	0.1339934787
677	0.1335794828
678	0.1331001678
679	0.1327321
680	0.1320010649
681	0.1315812466
682	0.1308489494
683	0.130731879
684	0.1303405847
685	0.1299205572
686	0.1297691566
687	0.129387045
688	0.129028057
689	0.1288901793
690	0.1285518734
691	0.1285266198
692	0.1280826181
693	0.1277520918
694	0.1276669727
695	0.1275714864
696	0.1272593679
697	0.1271903832
698	0.1266412121
699	0.126579507
700	0.1263596121
701	0.1258683617
702	0.1253783674
703	0.1249805757
704	0.1246140679
705	0.124273153
706	0.1240834708
707	0.1236486704
708	0.1231344631
709	0.1228120991
710	0.122500636
711	0.1221631327
712	0.121661583
713	0.1213455532
714	0.1206030523
715	0.1204784622
716	0.1203468373
717	0.120055325
718	0.119916089
719	0.1197832935
720	0.1190626119
721	0.1189109793
722	0.1187406365
723	0.1187312845
724	0.1185867232
725	0.1184019749
726	0.1181883614
727	0.1180453943
728	0.1173162686
729	0.1170318159
730	0.1168991093
731	0.1162586845
732	0.1159817474
733	0.1159077392
734	0.1156972599
735	0.1155649106
736	0.1155199407
737	0.115510926
738	0.1149721454
739	0.1146846127
740	0.1145872736
741	0.1144828391
742	0.1137858955
743	0.11365421
744	0.1133354635
745	0.1132496901
746	0.1129345979
747	0.1126950339
748	0.1121289755
749	0.1119556973
750	0.1118992169
751	0.1117831751
752	0.1114337881
753	0.1111849714
754	0.110575479
755	0.1098767195
756	0.1096604418
757	0.1096543427
758	0.1095157601
759	0.1089799736
760	0.1088660974
761	0.1082089022
762	0.1076809945
763	0.1072949979
764	0.1070856793
765	0.1069950354
766	0.1068759258
767	0.1067880798
768	0.1063135836
769	0.1062337485
770	0.1061286394
771	0.1059470011
772	0.105605336
773	0.1050589873
774	0.1046342434
775	0.1044940211
776	0.1042739434
777	0.1040903274
778	0.1037251525
779	0.1034118732
780	0.1030746928
781	0.1027737306
782	0.1023433946
783	0.1022878124
784	0.1022803861
785	0.1020022124
786	0.1014417998
787	0.1013353383
788	0.1010406608
789	0.1006483579
790	0.1005471741
791	0.1004020674
792	0.09964015565
793	0.09920365902
794	0.09884751391
795	0.09879588586
796	0.0983062742
797	0.09821781018
798	0.09810022701
799	0.09799791031
800	0.09799249117
801	0.09770701105
802	0.09723757399
803	0.09697591488
804	0.09688553862
805	0.09673032999
806	0.09634600289
807	0.09608911518
808	0.09608416369
809	0.09554610662
810	0.09529068321
811	0.09515845041
812	0.09509258445
813	0.09468981159
814	0.09448797684
815	0.09407261868
816	0.09380810344
817	0.09375831946
818	0.0936827342
819	0.09361398328
820	0.09351609488
821	0.09340261725
822	0.09327924662
823	0.09298743926
824	0.09273995223
825	0.09256272789
826	0.0921281873
827	0.0916484463
828	0.09125400113
829	0.09114647251
830	0.09077748127
831	0.0902157099
832	0.08983712768
833	0.08983055126
834	0.0898249885
835	0.08948742654
836	0.08948287138
837	0.08947859039
838	0.08947421993
839	0.08925236211
840	0.08904343773
841	0.08903854709
842	0.08836348342
843	0.08803763045
844	0.08799190434
845	0.087782181
846	0.08758602817
847	0.08754846816
848	0.08720109519
849	0.08677671923
850	0.08659191112
851	0.0865438108
852	0.0865391507
853	0.08653481454
854	0.08626115233
855	0.08625705856
856	0.08607545878
857	0.08585851145
858	0.08570440295
859	0.08537629792
860	0.08531903048
861	0.08516157895
862	0.08502638848
863	0.08480367114
864	0.08479163741
865	0.08476251703
866	0.08471076392
867	0.08451528658
868	0.08387451341
869	0.0837248501
870	0.08372067517
871	0.0835806884
872	0.08333648388
873	0.08327706024
874	0.08297252979
875	0.08271078447
876	0.08233559299
877	0.08206273747
878	0.08188093573
879	0.08175559893
880	0.08155476437
881	0.08121560847
882	0.08098077871
883	0.08067942264
884	0.08022219537
885	0.08012087324
886	0.0798616074
887	0.07957033582
888	0.07953183557
889	0.07949516026
890	0.0794214511
891	0.07925597625
892	0.07921138551
893	0.078958033
894	0.07892184346
895	0.0786969263
896	0.07864530671
897	0.07812236786
898	0.07794560822
899	0.07792054334
900	0.0777910644
901	0.07743674085
902	0.0771005228
903	0.07696961769
904	0.07687681769
905	0.0767562461
906	0.07634897618
907	0.07629401319
908	0.07616668174
909	0.07604971359
910	0.07591163534
911	0.07585622976
912	0.07526950509
913	0.07520412425
914	0.07516664781
915	0.07502366701
916	0.07450731263
917	0.07420635617
918	0.07380523284
919	0.07367646559
920	0.07348320615
921	0.07327082598
922	0.07317344805
923	0.07304720933
924	0.07275360036
925	0.07252384573
926	0.0722727186
927	0.07189634316
928	0.07169170959
929	0.07138464286
930	0.07130603379
931	0.07112257718
932	0.07107517053
933	0.07091662227
934	0.07048060964
935	0.07033877615
936	0.07020099766
937	0.06988283367
938	0.06976552107
939	0.06948862404
940	0.06941265585
941	0.06939983146
942	0.06921312258
943	0.06915291105
944	0.06886026272
945	0.06880869983
946	0.06866844236
947	0.06848492392
948	0.0682436393
949	0.06814488023
950	0.06804222315
951	0.06795403502
952	0.06784460543
953	0.06744236558
954	0.06719297016
955	0.06704549482
956	0.066954603
957	0.06687165066
958	0.06678667078
959	0.06676136302
960	0.0667127446
961	0.06655994619
962	0.06634453747
963	0.06632641156
964	0.06615334147
965	0.06609239557
966	0.06605672563
967	0.06601471973
968	0.06566681586
969	0.06545853009
970	0.06506607345
971	0.06497285521
972	0.06488506387
973	0.06476759465
974	0.06458926628
975	0.06439457016
976	0.06430409947
977	0.06420547879
978	0.06420031564
979	0.06419672313
980	0.06399713012
981	0.06385787145
982	0.06369292011
983	0.06351743197
984	0.06346007742
985	0.06337839697
986	0.06323900498
987	0.06299204434
988	0.0627541658
989	0.0623624741
990	0.06235843408
991	0.06222812232
992	0.06218609444
993	0.06214233418
994	0.06201842699
995	0.06187031211
996	0.06174226363
997	0.0615855893
998	0.06131051501
999	0.06127203778
